benchmark,total_instances,verified_count,verified_pct,timed_out_count,timed_out_pct,avg_bound_width,avg_runtime
acasxu_2023,184,54,29.35,0,0.00,803.442998,9.9364
cersyve,12,0,0.00,0,0.00,4.144910,10.7092
cgan_2023,17,0,0.00,17,100.00,--,301.2088
cifar100_2024,200,2,1.00,194,97.00,3.159588,299.5393
collins_rul_cnn_2022,62,39,62.90,0,0.00,33.764043,7.4221
cora_2024,60,19,31.67,0,0.00,12015.338805,25.8205
dist_shift_2023,72,56,77.78,0,0.00,14.030510,8.6418
linearizenn_2024,60,16,26.67,0,0.00,36.580904,11.2755
malbeware,150,126,84.00,0,0.00,5.590780,5.0793
metaroom_2023,100,93,93.00,5,5.00,0.087306,20.5857
nn4sys,1,1,100.00,0,0.00,0.000014,73.3900
safenlp_2024,195,4,2.05,0,0.00,22.946121,5.2215
sat_relu,100,3,3.00,0,0.00,58.285003,5.0310
test,3,2,66.67,0,0.00,0.168413,5.0700
tllverifybench_2023,32,0,0.00,16,50.00,134.886065,190.4119
